,age,gender,q3,continente,q4,q6,q21,q22,q24
118,30-34,Man,South Korea,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,20+, Build prototypes to explore applying machine learning to new areas
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9,Analyze and understand data to influence product or business decisions
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
119,25-29,Man,Singapore,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9, Build prototypes to explore applying machine learning to new areas
120,22-24,Woman,Pakistan,Asia,Master’s degree,< 1 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
121,22-24,Man,Egypt,África,Bachelor’s degree,< 1 years,50-249 employees,3-4,
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
122,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,0-49 employees,1-2, Build prototypes to explore applying machine learning to new areas
123,30-34,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,1-2,Analyze and understand data to influence product or business decisions
124,18-21,Woman,India,Asia,Bachelor’s degree,3-5 years,0-49 employees,0, None of these activities are an important part of my role at work
125,30-34,Woman,Germany,Europa,Master’s degree,< 1 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
126,25-29,Man,Nigeria,África,Bachelor’s degree,< 1 years,50-249 employees,3-4, Do research that advances the state of the art of machine learning
127,35-39,Woman,South Africa,África,Bachelor’s degree,3-5 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,250-999 employees,1-2,Analyze and understand data to influence product or business decisions
128,35-39,Man,Netherlands,Europa,Master’s degree,1-3 years,250-999 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14,Analyze and understand data to influence product or business decisions
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14, Build prototypes to explore applying machine learning to new areas
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14, Build and/or run a machine learning service that operationally improves my product or workflows
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14, Experimentation and iteration to improve existing ML models
129,35-39,Man,Brazil,América del Sur,Bachelor’s degree,10-20 years,250-999 employees,10-14, Do research that advances the state of the art of machine learning
130,18-21,Woman,India,Asia,Bachelor’s degree,1-3 years,0-49 employees,0,Analyze and understand data to influence product or business decisions
131,50-54,Woman,United States of America,América del Norte,Master’s degree,20+ years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,50-249 employees,5-9,Analyze and understand data to influence product or business decisions
132,25-29,Man,United States of America,América del Norte,Bachelor’s degree,1-3 years,50-249 employees,5-9, Build prototypes to explore applying machine learning to new areas
133,35-39,Man,Egypt,África,Master’s degree,1-3 years,0-49 employees,3-4, None of these activities are an important part of my role at work
134,50-54,Man,Japan,Asia,Master’s degree,20+ years,50-249 employees,5-9,Analyze and understand data to influence product or business decisions
135,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
136,35-39,Nonbinary,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9,Analyze and understand data to influence product or business decisions
137,30-34,Woman,India,Asia,Doctoral degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
138,18-21,Man,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",3-4,Analyze and understand data to influence product or business decisions
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9,Analyze and understand data to influence product or business decisions
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9, Build prototypes to explore applying machine learning to new areas
139,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,50-249 employees,5-9, Experimentation and iteration to improve existing ML models
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,250-999 employees,15-19,Analyze and understand data to influence product or business decisions
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,250-999 employees,15-19, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
140,25-29,Man,Colombia,América del Sur,Master’s degree,1-3 years,250-999 employees,15-19, Build prototypes to explore applying machine learning to new areas
141,60-69,Man,Mexico,América del Sur,Master’s degree,5-10 years,"10,000 or more employees",20+, Do research that advances the state of the art of machine learning
142,40-44,Man,Saudi Arabia,Asia,Doctoral degree,3-5 years,250-999 employees,10-14,Analyze and understand data to influence product or business decisions
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,15-19,Analyze and understand data to influence product or business decisions
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,15-19, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
143,22-24,Man,Mexico,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,15-19, Build prototypes to explore applying machine learning to new areas
144,40-44,Man,France,Europa,Master’s degree,< 1 years,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
144,40-44,Man,France,Europa,Master’s degree,< 1 years,0-49 employees,1-2, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
145,18-21,Man,Japan,Asia,Bachelor’s degree,< 1 years,,,
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions
146,25-29,Woman,Turkey,África,Master’s degree,1-3 years,"10,000 or more employees",20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
147,18-21,Man,Turkey,África,Bachelor’s degree,I have never written code,0-49 employees,1-2,Analyze and understand data to influence product or business decisions
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4,Analyze and understand data to influence product or business decisions
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4, Experimentation and iteration to improve existing ML models
148,30-34,Man,India,Asia,Master’s degree,1-3 years,50-249 employees,3-4, Do research that advances the state of the art of machine learning
149,35-39,Man,France,Europa,Doctoral degree,20+ years,"10,000 or more employees",20+, None of these activities are an important part of my role at work
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
150,25-29,Man,Japan,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+, Build prototypes to explore applying machine learning to new areas
151,60-69,Man,United States of America,América del Norte,Master’s degree,10-20 years,"10,000 or more employees",0, None of these activities are an important part of my role at work
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,0, Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data
152,30-34,Man,Argentina,América del Sur,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,0, Experimentation and iteration to improve existing ML models
153,25-29,Man,Ghana,África,I prefer not to answer,10-20 years,250-999 employees,3-4, None of these activities are an important part of my role at work
154,22-24,Man,India,Asia,Master’s degree,1-3 years,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions
